composition,M.m.a/M.m.b,M.m.a-M.m.b,M.m.a*M.m.b,M.m.a+M.m.b,"sqrt(M.m.a,M.m.b)",M.p.a/M.p.b,M.p.a-M.p.b,M.p.a*M.p.b,M.p.a+M.p.b,"sqrt(M.p.a,M.p.b)",M.r.a/M.r.b,M.r.a-M.r.b,M.r.a*M.r.b,M.r.a+M.r.b,"sqrt(M.r.a,M.r.b)",M.x.a/M.x.b,M.x.a-M.x.b,M.x.a*M.x.b,M.x.a+M.x.b,"sqrt(M.x.a,M.x.b)",M.v.a/M.v.b,M.v.a-M.v.b,M.v.a*M.v.b,M.v.a+M.v.b,"sqrt(M.v.a,M.v.b)",M.e.a/M.e.b,M.e.a-M.e.b,M.e.a*M.e.b,M.e.a+M.e.b,"sqrt(M.e.a,M.e.b)",S.m.a/S.m.b,S.m.a-S.m.b,S.m.a*S.m.b,S.m.a+S.m.b,"sqrt(S.m.a,S.m.b)",S.p.a/S.p.b,S.p.a-S.p.b,S.p.a*S.p.b,S.p.a+S.p.b,"sqrt(S.p.a,S.p.b)",S.r.a/S.r.b,S.r.a-S.r.b,S.r.a*S.r.b,S.r.a+S.r.b,"sqrt(S.r.a,S.r.b)",S.x.a/S.x.b,S.x.a-S.x.b,S.x.a*S.x.b,S.x.a+S.x.b,"sqrt(S.x.a,S.x.b)",S.v.a/S.v.b,S.v.a-S.v.b,S.v.a*S.v.b,S.v.a+S.v.b,"sqrt(S.v.a,S.v.b)",S.e.a/S.e.b,S.e.a-S.e.b,S.e.a*S.e.b,S.e.a+S.e.b,"sqrt(S.e.a,S.e.b)",M.m.a,M.p.a,M.r.a,M.x.a,M.v.a,M.e.a,S.m.a,S.p.a,S.r.a,S.x.a,S.v.a,S.e.a,M.m.b,M.p.b,M.r.b,M.x.b,M.v.b,M.e.b,S.m.b,S.p.b,S.r.b,S.x.b,S.v.b,S.e.b
(Nd0.8Yb0.2)2Zr2O7,1.6443216697360348,58.777600000000035,13683.7459584,241.2256,175.5628040860592,1.0754427402810598,0.8151505040000001,125.55325764727014,22.424930344000007,15.86729295244503,1.290714285714286,0.2442000000000001,0.910728,1.9242,1.371528213344516,0.8511278195488721,0.19800000000000012,1.50556,2.4619999999999997,1.7465176781241007,0.5742105263157895,1618.0,8291600.0,5982.0,4381.908716529819,0.5529411764705884,30.39999999999999,2556.800000000001,105.6,77.7030243941637,0.0,14.398999999999988,0.0,14.398999999999988,14.398999999999988,0.0,0.03259378999999996,0.0,0.03259378999999996,0.03259378999999996,0.0,0.062,0.0,0.062,0.062,0.0,0.01999999999999991,0.0,0.01999999999999991,0.01999999999999991,0.0,370.0,0.0,370.0,370.0,0.0,8.5,0.0,8.5,8.5,150.00160000000002,11.620040424,1.0842,1.1320000000000001,2182.0,37.60000000000001,14.398999999999988,0.03259378999999996,0.062,0.01999999999999991,370.0,8.5,91.224,10.80488992,0.84,1.33,3800.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
(Nd0.6Yb0.4)2Zr2O7,1.7074585635359116,64.53720000000001,14209.159708799998,246.9852,180.5086413483853,1.074236109200453,0.802112987999994,125.41238872205984,22.411892828000003,15.857747718060025,1.2611904761904762,0.2194,0.8898959999999999,1.8994,1.352009008845725,0.8451127819548873,0.20600000000000002,1.4949200000000002,2.454,1.7413431597476705,0.5352631578947369,1766.0,7729200.0,5834.0,4310.1225040594845,0.5029411764705882,33.8,2325.600000000001,102.2,76.11596415995794,0.0,14.398999999999988,0.0,14.398999999999988,14.398999999999988,0.0,0.03259378999999996,0.0,0.03259378999999996,0.03259378999999996,0.0,0.062,0.0,0.062,0.062,0.0,0.01999999999999991,0.0,0.01999999999999991,0.01999999999999991,0.0,370.0,0.0,370.0,370.0,0.0,8.5,0.0,8.5,8.5,155.7612,11.607002907999997,1.0594,1.124,2034.0,34.2,14.398999999999988,0.03259378999999996,0.062,0.01999999999999991,370.0,8.5,91.224,10.80488992,0.84,1.33,3800.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
(Nd0.6Yb0.4)2Zr2O7,1.7074585635359116,64.53720000000001,14209.159708799998,246.9852,180.5086413483853,1.074236109200453,0.802112987999994,125.41238872205984,22.411892828000003,15.857747718060025,1.2611904761904762,0.2194,0.8898959999999999,1.8994,1.352009008845725,0.8451127819548873,0.20600000000000002,1.4949200000000002,2.454,1.7413431597476705,0.5352631578947369,1766.0,7729200.0,5834.0,4310.1225040594845,0.5029411764705882,33.8,2325.600000000001,102.2,76.11596415995794,0.0,14.398999999999988,0.0,14.398999999999988,14.398999999999988,0.0,0.03259378999999996,0.0,0.03259378999999996,0.03259378999999996,0.0,0.062,0.0,0.062,0.062,0.0,0.01999999999999991,0.0,0.01999999999999991,0.01999999999999991,0.0,370.0,0.0,370.0,370.0,0.0,8.5,0.0,8.5,8.5,155.7612,11.607002907999997,1.0594,1.124,2034.0,34.2,14.398999999999988,0.03259378999999996,0.062,0.01999999999999991,370.0,8.5,91.224,10.80488992,0.84,1.33,3800.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
(Nd0.6Yb0.4)2Zr2O7,1.7074585635359116,64.53720000000001,14209.159708799998,246.9852,180.5086413483853,1.074236109200453,0.802112987999994,125.41238872205984,22.411892828000003,15.857747718060025,1.2611904761904762,0.2194,0.8898959999999999,1.8994,1.352009008845725,0.8451127819548873,0.20600000000000002,1.4949200000000002,2.454,1.7413431597476705,0.5352631578947369,1766.0,7729200.0,5834.0,4310.1225040594845,0.5029411764705882,33.8,2325.600000000001,102.2,76.11596415995794,0.0,14.398999999999988,0.0,14.398999999999988,14.398999999999988,0.0,0.03259378999999996,0.0,0.03259378999999996,0.03259378999999996,0.0,0.062,0.0,0.062,0.062,0.0,0.01999999999999991,0.0,0.01999999999999991,0.01999999999999991,0.0,370.0,0.0,370.0,370.0,0.0,8.5,0.0,8.5,8.5,155.7612,11.607002907999997,1.0594,1.124,2034.0,34.2,14.398999999999988,0.03259378999999996,0.062,0.01999999999999991,370.0,8.5,91.224,10.80488992,0.84,1.33,3800.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
(Nd0.2Yb0.8)2Zr2O7,1.833732351135666,76.0564,15259.987209599994,258.5044,190.537530161803,1.0718228470392408,0.7760379559999979,125.1306508716394,22.385817795999998,15.838672187163654,1.2021428571428572,0.16980000000000006,0.848232,1.8498,1.3135052493233514,0.8330827067669173,0.222,1.4736400000000005,2.438,1.7310586356331203,0.4573684210526316,2062.0,6604400.0,5538.0,4178.593543287023,0.4029411764705884,40.6,1863.2000000000005,95.4,73.31275468838966,0.0,14.398999999999988,0.0,14.398999999999988,14.398999999999988,0.0,0.03259378999999996,0.0,0.03259378999999996,0.03259378999999996,0.0,0.062,0.0,0.062,0.062,0.0,0.01999999999999991,0.0,0.01999999999999991,0.01999999999999991,0.0,370.0,0.0,370.0,370.0,0.0,8.5,0.0,8.5,8.5,167.2804,11.580927875999999,1.0098,1.1079999999999999,1738.0,27.40000000000001,14.398999999999988,0.03259378999999996,0.062,0.01999999999999991,370.0,8.5,91.224,10.80488992,0.84,1.33,3800.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
(Nd0.2Yb0.8)2Zr2O7,1.833732351135666,76.0564,15259.987209599994,258.5044,190.537530161803,1.0718228470392408,0.7760379559999979,125.1306508716394,22.385817795999998,15.838672187163654,1.2021428571428572,0.16980000000000006,0.848232,1.8498,1.3135052493233514,0.8330827067669173,0.222,1.4736400000000005,2.438,1.7310586356331203,0.4573684210526316,2062.0,6604400.0,5538.0,4178.593543287023,0.4029411764705884,40.6,1863.2000000000005,95.4,73.31275468838966,0.0,14.398999999999988,0.0,14.398999999999988,14.398999999999988,0.0,0.03259378999999996,0.0,0.03259378999999996,0.03259378999999996,0.0,0.062,0.0,0.062,0.062,0.0,0.01999999999999991,0.0,0.01999999999999991,0.01999999999999991,0.0,370.0,0.0,370.0,370.0,0.0,8.5,0.0,8.5,8.5,167.2804,11.580927875999999,1.0098,1.1079999999999999,1738.0,27.40000000000001,14.398999999999988,0.03259378999999996,0.062,0.01999999999999991,370.0,8.5,91.224,10.80488992,0.84,1.33,3800.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
(Nd0.2Yb0.8)2Zr2O7,1.833732351135666,76.0564,15259.987209599994,258.5044,190.537530161803,1.0718228470392408,0.7760379559999979,125.1306508716394,22.385817795999998,15.838672187163654,1.2021428571428572,0.16980000000000006,0.848232,1.8498,1.3135052493233514,0.8330827067669173,0.222,1.4736400000000005,2.438,1.7310586356331203,0.4573684210526316,2062.0,6604400.0,5538.0,4178.593543287023,0.4029411764705884,40.6,1863.2000000000005,95.4,73.31275468838966,0.0,14.398999999999988,0.0,14.398999999999988,14.398999999999988,0.0,0.03259378999999996,0.0,0.03259378999999996,0.03259378999999996,0.0,0.062,0.0,0.062,0.062,0.0,0.01999999999999991,0.0,0.01999999999999991,0.01999999999999991,0.0,370.0,0.0,370.0,370.0,0.0,8.5,0.0,8.5,8.5,167.2804,11.580927875999999,1.0098,1.1079999999999999,1738.0,27.40000000000001,14.398999999999988,0.03259378999999996,0.062,0.01999999999999991,370.0,8.5,91.224,10.80488992,0.84,1.33,3800.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
(Sm1/3Eu1/3Dy1/3)2Zr2O7,1.6984711625595603,63.71733333333333,14134.368191999994,246.1653333333333,179.80165447267467,1.0921668963503266,0.995853169333328,127.50573005444737,22.605633009333328,16.000099488558376,1.2587301587301587,0.21733333333333327,0.8881599999999998,1.897333333333333,1.3503902316655647,0.8997493734335836,0.13333333333333375,1.5915666666666664,2.5266666666666664,1.789109027172774,0.6478070175438596,1338.3333333333335,9354333.333333332,6261.666666666666,4527.670789465349,0.6323529411764706,25.0,2924.0,111.0,80.45495634204272,0.0,5.384749163661712,0.0,5.384749163661712,5.384749163661712,0.0,2.2923530761537085,0.0,2.2923530761537085,2.2923530761537085,0.0,0.02209575122556864,0.0,0.02209575122556864,0.02209575122556864,0.0,0.020548046676563275,0.0,0.020548046676563275,0.020548046676563275,0.0,244.00591978246945,0.0,244.00591978246945,244.00591978246945,0.0,18.23915202707261,0.0,18.23915202707261,18.23915202707261,154.94133333333332,11.80074308933333,1.0573333333333332,1.1966666666666663,2461.6666666666665,43.0,5.384749163661712,2.2923530761537085,0.02209575122556864,0.020548046676563275,244.00591978246942,18.239152027072606,91.224,10.80488992,0.84,1.33,3800.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
(Sm1/3Eu1/3Dy1/3)2Zr2O7,1.6984711625595603,63.71733333333333,14134.368191999994,246.1653333333333,179.80165447267467,1.0921668963503266,0.995853169333328,127.50573005444737,22.605633009333328,16.000099488558376,1.2587301587301587,0.21733333333333327,0.8881599999999998,1.897333333333333,1.3503902316655647,0.8997493734335836,0.13333333333333375,1.5915666666666664,2.5266666666666664,1.789109027172774,0.6478070175438596,1338.3333333333335,9354333.333333332,6261.666666666666,4527.670789465349,0.6323529411764706,25.0,2924.0,111.0,80.45495634204272,0.0,5.384749163661712,0.0,5.384749163661712,5.384749163661712,0.0,2.2923530761537085,0.0,2.2923530761537085,2.2923530761537085,0.0,0.02209575122556864,0.0,0.02209575122556864,0.02209575122556864,0.0,0.020548046676563275,0.0,0.020548046676563275,0.020548046676563275,0.0,244.00591978246945,0.0,244.00591978246945,244.00591978246945,0.0,18.23915202707261,0.0,18.23915202707261,18.23915202707261,154.94133333333332,11.80074308933333,1.0573333333333332,1.1966666666666663,2461.6666666666665,43.0,5.384749163661712,2.2923530761537085,0.02209575122556864,0.020548046676563275,244.00591978246942,18.239152027072606,91.224,10.80488992,0.84,1.33,3800.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
(Sm1/3Eu1/3Dy1/3)2Zr2O7,1.6984711625595603,63.71733333333333,14134.368191999994,246.1653333333333,179.80165447267467,1.0921668963503266,0.995853169333328,127.50573005444737,22.605633009333328,16.000099488558376,1.2587301587301587,0.21733333333333327,0.8881599999999998,1.897333333333333,1.3503902316655647,0.8997493734335836,0.13333333333333375,1.5915666666666664,2.5266666666666664,1.789109027172774,0.6478070175438596,1338.3333333333335,9354333.333333332,6261.666666666666,4527.670789465349,0.6323529411764706,25.0,2924.0,111.0,80.45495634204272,0.0,5.384749163661712,0.0,5.384749163661712,5.384749163661712,0.0,2.2923530761537085,0.0,2.2923530761537085,2.2923530761537085,0.0,0.02209575122556864,0.0,0.02209575122556864,0.02209575122556864,0.0,0.020548046676563275,0.0,0.020548046676563275,0.020548046676563275,0.0,244.00591978246945,0.0,244.00591978246945,244.00591978246945,0.0,18.23915202707261,0.0,18.23915202707261,18.23915202707261,154.94133333333332,11.80074308933333,1.0573333333333332,1.1966666666666663,2461.6666666666665,43.0,5.384749163661712,2.2923530761537085,0.02209575122556864,0.020548046676563275,244.00591978246942,18.239152027072606,91.224,10.80488992,0.84,1.33,3800.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
